id,質問,回答,メモ
organization.C4,知識移転契約で内面化(SECI の I)を KPI にできるか(例: IPA モデル契約),yes,知識移転契約で内面化を KPI にできる体制があるから yes
organization.C5,拡大期の漸進分割(Stream-aligned から Complicated-Subsystem / Platform への切り出し)を事前に設計できるか,yes,拡大期のチーム切り出しを事前に設計できているから yes
organization.C6,bus factor 対策(ペアプロ・ADR・Knowledge Transfer Day)を運用しているか,yes,ペアプロ・ADR 等の bus factor 対策を運用しているから yes
L_trajectory_enforcement.E1,副作用(書き込み・ネットワーク送信・外部 API 呼び出し)が通る経路を棚卸しし、すべての経路が該当する admission policy(通行審査)の強制下にあって、審査を迂回できる経路が無いことを試験または構成証跡で確認したか,yes,副作用の egress を外部 admission point に一本化し迂回経路の無さを確認済みだから yes
L_trajectory_enforcement.E2,承認を拒否・停止した状態で、並行して走る別処理の副作用が実行されないことを、実際に並列タスクを投げる試験で確認したか(構成証跡で代える場合は、並列分岐だけでなく重複起動・retry・非同期の子ジョブ・別 worker を含め、同じ副作用範囲に並行実行が構成上存在しないことまで示すこと),yes,承認拒否中に並列タスクを投げ兄弟側の副作用が走らないことを実測したから yes
L_trajectory_enforcement.E3,長時間タスクを compaction(文脈要約)が走る長さまで実走させ、制約が保たれていることを確認したか(要約後の文脈の検査でも、要約後も禁止操作が拒否されることの決定論的試験でもよい。構成証跡で代える場合は、要約だけでなく履歴の切り捨て・セッション再構築など制約を落としうる文脈の変換が構成上発生しないこと、または制約が可変文脈の外側で強制されることまで示すこと),yes,compaction が走る長さまで実走させ要約後も制約が残ることを確認したから yes
L_trajectory_enforcement.E4,禁止事項・制約が compaction の対象外(固定バッファまたは再注入の仕組み)であることを構成で確認し、要約後の生存または再注入を検査した記録があるか(system message に置いたという自己申告だけでは yes にしない。E3 と同じ代替証跡 — 制約を落としうる文脈の変換が構成上発生しない、または制約が可変文脈の外側で強制される — でもよい),yes,制約の再注入機構を構成で確認し検査ログを記録しているから yes
L_trajectory_oversight.O1,監視・分類の判断根拠が、ユーザーの指示・実行される tool call・独立に検証された観測に基づいており、エージェント自身の発言・reasoning(自己申告)を信頼根拠にしていないことを、監視の入力スキーマの確認または評価記録で確かめたか,yes,監視入力を tool call 列に限定しエージェントの発言を除外しているから yes
L_trajectory_oversight.O2,検知時に人間をいつ呼ぶか(拒否理由を返して自動継続 / 閾値エスカレーション / 全件人間確認)がリスク分類に応じて定義され、その選択で運用した記録があるか,yes,閾値エスカレーションをリスク分類に応じて定義し運用記録があるから yes
L_trajectory_oversight.O3,承認プロンプトの承認率を期間・母数つきで計測しており、承認率が高止まりしたときに確認ステップを再設計する運用の記録があるか,no,承認率を計測しておらず再設計の運用も無いから no
