id,質問,回答,メモ
L4.Q3,監査ログは Who/When/What/Why/Result を構造化スキーマで記録しているか,yes,監査ログは Who/When/What/Why/Result の JSON スキーマで ELK に記録。Why は回答根拠の条文
L4.Q4,規定改定後も過去判定を再検証できるよう、規定バージョンをログに固定しているか,yes,ログに応対規程のバージョンを固定記録。年 2 回の改定後も当時の版で過去判定を再検証できる
L4.Q5,誤承認の補正フローが設計され、ログに残るか,yes,誤回答は Redmine に補正チケットを起票して訂正連絡し、経緯をログに残すフローを運用中
efficacy.E1,削減数値の分母・基準値・期間を説明できるか,yes,一次回答 1 件あたりの平均起案時間を基準値、月次問い合わせ件数を分母に削減率を算出
efficacy.E2,期待値(ベンダー試算)と実績(自社実測)を区別しているか,yes,ベンダー試算と自社実測をスプレッドシートの別欄で管理。報告資料でも併記
efficacy.E3,数値の対象範囲(業務全体か一部か)を明示しているか,yes,削減数値は「一次回答の起案工程のみ」と対象範囲を報告資料に明示。送信後の対応は含めない
efficacy.E4,AI 起因の誤承認・誤差し戻しを効率とは別に集計しているか,yes,AI 起因の誤回答は効率数値と別のシートで件数集計し、月次のサポート部会で報告
organization.C1,8〜12 ヶ月以内に「やめる」と決められる権限と文化があるか,yes,サポート部長が 12 ヶ月以内の中止決裁権を持つと稟議に明記。判断材料の月次レビューも実施
organization.C2,受け皿となる全社リテラシー層(ビジネス側人材)が 2 桁人数まで育っているか,yes,全社 AI リテラシー研修の修了者が 40 名を超え、サポート部門外にも運用を引き継げる層がある
organization.C3,AI ツール基盤(Copilot・社内チャット・RAG)が個人レベルで定着しているか,yes,Copilot と社内 AI チャット + RAG が個人業務に定着し、週次利用率は全社 7 割超
organization.C4,知識移転契約で内面化(SECI の I)を KPI にできるか(例: IPA モデル契約),yes,開発委託契約は IPA モデル契約準拠で、知識移転の内面化を検収 KPI に含む
organization.C5,拡大期の漸進分割(Stream-aligned から Complicated-Subsystem / Platform への切り出し)を事前に設計できるか,yes,拡大期は FAQ 検索基盤を Platform チームへ切り出す分割案を DX推進室と設計済み
organization.C6,bus factor 対策(ペアプロ・ADR・Knowledge Transfer Day)を運用しているか,yes,週次のペアプロと ADR の常時運用に加え、四半期の Knowledge Transfer Day を実施中
L_capability.C1,エージェントが到達しうる能力を棚卸しし、閉じている能力それぞれについて技術的な必然か方針・契約上の判断かを記録しているか,yes,到達しうる能力を Redmine の台帳に棚卸しし、閉じた能力ごとに技術制約か方針判断かを記録済み
L_capability.C2,付与済み権限のうち未行使のものを洗い出して削除する棚卸しを定期的に行う運用があり、直近の回を完了しているか,yes,四半期の権限棚卸しで未行使のままだった顧客情報の書き込みスコープ 2 件を削除。直近 6 月回も完了
L_capability.C3,ツールを呼ぶかどうかの判断を LLM に委ねること(LLM を信頼計算基盤に含めること)を明示的に決定し、記録しているか,yes,ツール選択を LLM に委ねる判断は設計レビューで明示決定し、議事録を社内 wiki に記録
L_consent.S1,同意した利用者が「何にどこまで同意したか」を説明できることを実測で確認しているか(同意の形式が整っていることの確認ではなく),no,同意文言は法務レビュー済みで取得記録も残る。だが利用者が内容を説明できるかを確かめたテストやヒアリングは無い
L_consent.S2,機微な同意を要する操作を洗い出し、該当する操作があるものはエージェントの文脈の外で同意を取る形にしているか,yes,個人情報を含む照会はエージェントを介さず、担当者が顧客管理画面を直接開く導線に分離済み
L_consent.S3,同意の設計が、行動ごとの確認プロンプトを増やす方向に依存していないか,no,この 3 ヶ月で確認ダイアログを 4 種類追加した結果、担当者が内容を読まず OK を押す様子が定着しつつある
